max_features,n_estimators,voting,weights,accuracy,time
500,50,soft,"(1, 1, 1)",0.974119530416222,3.9036357402801514
500,50,soft,"(2, 1, 1)",0.9749199573105657,2.8675780296325684
500,50,hard,"(1, 1, 1)",0.9727854855923159,2.786430597305298
500,50,hard,"(2, 1, 1)",0.974119530416222,3.2079737186431885
500,100,soft,"(1, 1, 1)",0.9733191035218783,3.1653757095336914
500,100,soft,"(2, 1, 1)",0.9749199573105657,2.9411511421203613
500,100,hard,"(1, 1, 1)",0.9733191035218783,1.5494017601013184
500,100,hard,"(2, 1, 1)",0.9743863393810032,1.6331138610839844
1000,50,soft,"(1, 1, 1)",0.9871931696905016,1.157926321029663 +
1000,50,soft,"(2, 1, 1)",0.9869263607257204,1.239454746246338
1000,50,hard,"(1, 1, 1)",0.9869263607257204,1.701305627822876
1000,50,hard,"(2, 1, 1)",0.9861259338313767,1.5526020526885986
1000,100,soft,"(1, 1, 1)",0.986392742796158,1.5978894233703613
1000,100,soft,"(2, 1, 1)",0.9871931696905016,1.5219287872314453
1000,100,hard,"(1, 1, 1)",0.986392742796158,1.5085313320159912
1000,100,hard,"(2, 1, 1)",0.986392742796158,1.468763828277588
