max_features,n_estimators,voting,weights,accuracy,time
500,50,hard,"(1, 0, 0)",0.9754535752401281,3.4053256511688232
500,50,hard,"(0, 1, 0)",0.9725186766275347,2.6292145252227783
500,50,hard,"(0, 0, 1)",0.9498399146211313,2.738259792327881
500,100,hard,"(1, 0, 0)",0.9754535752401281,2.7557356357574463
500,100,hard,"(0, 1, 0)",0.9727854855923159,2.882976531982422
500,100,hard,"(0, 0, 1)",0.9498399146211313,2.7086215019226074
1000,50,hard,"(1, 0, 0)",0.9853255069370331,1.101865530014038
1000,50,hard,"(0, 1, 0)",0.9831910352187834,1.1681811809539795
1000,50,hard,"(0, 0, 1)",0.9781216648879403,1.0351788997650146
1000,100,hard,"(1, 0, 0)",0.9853255069370331,1.3234443664550781
1000,100,hard,"(0, 1, 0)",0.9829242262540021,1.403348445892334
1000,100,hard,"(0, 0, 1)",0.9781216648879403,1.241905689239502
